    33    83    98    87    80    17    98    70    38    26    11    52    15    28    43    21    84    20    47    18    10    79    22    96    80    70    70    10    15    83    96    99    60    28     6    56    70    10    41    29     6    94    56    17    30    87     1    83    20    89    44     4    63    39    54    54    36    23     9    63    30    43    51    85    28    30    87    88    68    57    27    66    29    75    56    48    56    11     1    34    27    63    16    32    43    82    85    88    90    58    41    46    92    62    39    57    51    77    90     9    68     1    56    80    60     7    61    17    67     2    83    68    51    91     1    37     4    14    71    11     2    80    46    35    81    34    71    48    21    73    37    81    34    86    26     1    59    98    29    71    27    69    97    73    27     3    36    45    17    94     2    62     2    29    67    17    37    42    45     9    59    59    90    66    61    95    23    97     6    59    68    80    52    43    35    24    31    64     2    37    19    54    77    30    50    51    97    53    98    96     4    84    80    42     2    83    27    37    88    66    22    82    50    35    51    10    89    79    23    15     4    64     9    24    59    56    21    66    74    76    93    39    60    39    20     3    39    77    62    49    30    71    95    87    67    78    53    20    31    36
    64    35    42     9    57    70    23    18    13    74    78    21    11     2    96    70    74    60     7    56    70    59    84     2    51    60    77    10    16    57    39    70    66    73    64    31    59     2    19    14    69    82    59    51    85    92    24     8    91     2    25    75    13    14    85     7    86    98    76    69    65    95    23    63    82    46    20    37    97    32    39     8     7    73    92    64     1    16    51    20    45    57    63    60    88    59    92    95    80    96    74    76    60    24    14    17     1    10    58    59    45     8    92    74    61     2    89    13    39    90    26    88    45    95    31    87    99    58    90    23    52    25    99    29     8    19    13    79     3    61     3    48     8    34    39    89     7    84    10    31    49    68    94    40    88    84    63    93    76    32    38    71    89    91    70     1    20    48    95     6    31    38    16    89    34    13    70    71    29    11    59    15    56     6    69    61    81    90     1    79    26    79    93    34    57    34    15    94    92     1    40    76     8    76    50     1    99    73    81    94    31    78    19    34    77    60    53    25     8    34    91    18    46    72     4     1    97    14    94    48    65    53    63    51    61     1    10    59    98     4    49    88    61    17    95    64    48     3    26    10
    65    88    86    37    48    26    78    54    44    86     5    87    13     5    46    16    84    25    12     3    72    83    60    45    37    32    12    38    21    24    55    32    78     1    10    35    11    81    55     6    69    51    49    86    15     5     1    53    29    87    83    64    72    65    70    34     1     2    26    95    87     6    55    71    82    31    62    79     6    20    40    78    90    69    46     5    96    24    33    13    51    97    30    58    84    95    21    34     3    99    11    46    60    37    35     7    48    77    34    35    49    95    78    84     1    15    77    22    99    75    49    53    34    90    41     3    24    91    70    11    17    38    74    44    15     1    21    74     8    40     1    76    78     9    63    86    41    78    81    47    48    67    89    35    68    26    32    26    76    28    91    15    98    12    97    49    22    70    13    70    57    38    75     2    50    93    31    19     1    38    13    16     9    63    99    78    87    42    41     6     2    34    38    49     8    65    81    77    96    94    54    96    63     8    33    20    37    66     9    38    19    52    77    11    21    96    66    70    31    51     2     1    26    69    39    32    28    80    30    85     7     6     3    65    75    10    73    16    86    28    79    16     6    34    36     5     4    65    37    97
    17    36    75     7     5    32    52    39    89    54    16    97    33    14    11     1    78    60    50    33    26     1    12    30    26    15    33    44     1    48    26    59    92    90    66    51     8    45    22    78    22    61    67    58    97     4    34    23    34    36    33    33    93    34    94    98    98    98     2    79    22    90    55    96    35    66    13    54    63    57    97     8    68    72    83    54    72    26     7    66    97     5    83    74     3     4     2     1    68    29    71    80    71    64    73    64    74    57    51    38    50    42    76     1    51    76    24    52    37    88    30    36    81    36     3    45    15    98    98    49    37    59    51    58    35    91    55    12     5    42     3    59    41    40    23    61    83    32    60    31    59    15    62    38    76    17    93    11    64    41    24    78    92    97     8    22    10    52    37    48    91    23     8     2     7    69    26    28    73    45    61    31    67    33    72    64    51    42    25    81    12    99    52     7    99    79    19    94    91    28    98    44    48    56    54    41    93    52    48     1    70    56     7    58    44     5    71    54    16    68    12    86    71    22    93    72    59    72    16    50    33    81    38    30    96    53     3    48     6    34    37    91    66     4     3    43    47     1    49    67
    67    87    14    52    48    40    10     8    37    61    92    57    50    21    16    16    56    19    73     4     2    86    43     7    48    60    15    46    77    58     1    56    54    61    84     5    34    99    90    67    65    73     9    26    39    52    69    76    12    30    62    39    61    12    59    59    14    59    88     1    18     9    51    13     3    73    80    38    91    64     1    37    94     5    71    81    50    59    75    26    72    14    87    78    22    82    42    92    24    92     1    25    24    90    80    12    79    61    81    21    95    80    68    92    25    63    41    75    81    47    17    86    89    28     1    30    12    25    74    85    54     5    63    30    59     1    79     6    47    31    13    99    11    28    37    18    34    87    83    74    51    25    23    92    76    45    17    37    13    47    93    56    28    74     8    93    71    46    40     1    88    61    63    95    51    61    12    99    28    20    60    28    20    46    48    50    49    22    13    90    94    98     1    87    94    78    58    53    62    65     9     7    35    80    83    42    21    51    49    58    56     5    13    30    74    77    16    45    79    90    58    98    17    43    58    50    85     2    87    78    48    78    24     5    44    76    33    67     1    51    32    77    12    14    82    51    48    65    93    88
    16     9    28    39    99    80    88    49    97    59    43     6    11    29    25    68    88    69    94    57     4    78    13    24    95    61    39     9    70     2    56    20    20    18    93    74    16    69    68    12    20    80    90     1    69    42    11    88     2    46     4     5    99    20    68    23    29    77    99     3    25    58    12    28    13    87    90     1    22    12    43    50    14    98    97    78     4    76    96    12    61    24    61    79    77    11    23    77    19    98    20    90    45    26    69    67    41    82    30    50    54    96     1    69     1    46    84    16     1    69    21    49    31    10    95    86    40    73    53    79    67    33    19     8    78    38    12    87    18    37    36     4    82    54    14    50    93    68    70    91    80     1    18    59    19    56    94    77     1    93    58    56    82    40     2     1    85    34    52    30    45    40    18     5    30     2    16    64    25    37    41     3    87     1    70    59    56     1    31    97    50    73    29    69    10     8     3    31     4    64    44    54     2    24    82    10    12    50    41    50     1     2    64    51    48    79    10    19    61    78    53    53    97    14    49    80     8    24    25    43    66    28    26    97    66    61    49    61    62    83    48    71    58    28    45    68    86    94     5    15
    42    75    33    77    96    20    89    10    54    27    92    89    92    99    40    58    95    53    18    80     9    36    49    43    30    71    95    99    51     1    97     2    85    63    11    90    15    81    32     4    93     3    62    29    34    75    14    16    77    72    89    41    88    86    85     3     9    79     5    52    76     7    10    18    98    57    72    68    76    76     1     7    15    39    83    79    26    55    96    46    69    41    49    78    73    23    86    81    94     1    48    63     3    66     3    34    58    45    23    30    66    34    92    34    74    47     6    75     2    94    44    59    72    65    14    77    28    69    36     8    71    32    72    57    11    47     6     1    90    50    33     4    55    90    68    67    89    18    97    25     8    25     2     2    17    50    98    71    87    31    85    87    30    42    12    83    20    95    38    44     1    23    35    88     1    90    14    71    56    98    26    54    94    56    88    68    39    72    74    61    50    71    69     6    58    74    82    77    30    17     1    95     1    78    54    11    88    35    80    98    98    30    35    12    34    11    56     3    83    12    26    70    89    53    13    53    70    96    84    71    69    71    56    90     4    72    60    66    31    59    38    65    19    93    45    44    87    84    36    42
     2    42    83    17    35     2    68    40    97    49    98    24    74    84    78    66     1    29    63    22     1     1    26    68    55    90    60    36    30    27    44    81     1    50     2    51    24    55    43     1    70    97    48    58    26     5    88    13    68     6    14    34    20    67    37    65    46    50    97     1    35    81    79     3     5    11    64    76    49    80    93    82    75    55    35    18    91    95    71     2    79    14    84    80    21    32    97     6    39    94    46    85    88    33    58     3    75    63    78    92    23    97    24    63    97    80    52    68    40    35    56    97    47    35    17    28    95    59     1    68    42    40    85    94     5    31    50    40    87    80     1    30    19     5    95    34     1    35    53    58    92    30    52    38    10    78    88     5    26     2    86    68    51    72    11     2    82    40    10    51    42    81    72    24    66    72    93     1    81    39    13    88    20    91    97    98    77    88    19    11    23    97    33    68    42    41    21    93    10    35     7    95    51    65    14    49    62    75    69    95    75    50    77    42    54    26    47    53    27    37    88    49    73    85    94    44    23    39    71    25     1     6    87    45    10    24     7    90    19    76    33    96    96    12    13    58    26    88    76    30
    20    70    38    92    35     6    29    66    55    22    11    33    46    29     1    59    49    29    28    65    95     1    44    56    47    53    18     1    44    49    43     5    59    75     3    74    17    42    45    12    83    87    89    85    91     2    18    21    80    57    70    88    20    19     8     1    10    39    52    43    18     1    44    34    24    32    55    23    98    64    68     4    78    29    24    95    19    15    80    29    79    37    24    37    54    97    58    11    35    28    19    86    71    73     7    81     1    25    93     1     2    11     2    75    58    31    72    80     4     1    80    43    26    58    66    85     6    64     1    57    10    10     1    59    82    44    65    34    45    52    93    74     4    24    55    57    67    12    34    83    97    68    68    54    82    77    19    33    16    54    63    80    25    41    68    60    99    42    71    15    52    80    50    23    87    77     8    66    42    26    94    65    41    95    28    64    28    64    92    53    18    36    48    67    80    87    64    30    73    41    52    16    96     4    43    92    66     5    83    86    73     2    93    37    94    78    36    18    90    78    88    95    43    58    95    21     7    68    61    87    87    14    61    32    25     6    43    64     1    72    52     4    89    80    42    71    47     5    54    23
    84    94    36    80    91    75    91    79    91    91    88    34    85    70    65    90    52    80    53    81    67     1    84    68    28    29    99    71    15    80    55    96    93    85    61    20     5    36    56    52    55    15    65    59    53    26    83    29    37    84    74    55     1    71    37    59    51     1     1     1    31    40    30    55    88    34    74    35    39    61    54    92     1    87    46    20    69    49    44    45    23    45    85    69    59    88    18     8    82     5    27    90    76    92    10    20    81    56    34    66    85    83    23    22    16    99    91    12    15    74    10     2    12    83    91    97    47    81    83     1    52    49     1    14    49    52    87    14    19    56    24     2    38    69     1    99    82    21    18     6    41    42    36    31    95    36    65    27    17     8    32    66    74     3     7    13    22    83     6    47    42    66    86    64    99     1    13    47    70    36    56    39    77     3    90    90    77    77     3    88    51    75    51    90    33    57     2    90    47    76    37    81    91    46    29    49    70     2    20    98    61    93     1    28    36    82    26    14    76    16    21    18    72    74    12    15    57    88     4    53    90     1    50    82    10    10    71    41    30    35    81    42    74    30    67     1    26     4    94    60
