    30    75    88    78    72    16    88    63    34    24    10    47    13    25    39    18    75    18    42    16     9    71    20    86    72    63    63     9    14    75    86    89    54    25     5    50    63     9    37    26     6    85    50    16    27    78     1    74    18    80
    58    32    38     8    51    63    21    16    12    67    70    19    10     2    87    63    66    54     7    50    63    53    75     2    46    54    69     9    14    52    35    63    60    66    57    28    53     2    17    12    62    73    53    46    76    82    21     7    82     2
    58    79    77    33    43    23    70    49    39    77     4    78    12     4    41    15    75    23    11     3    65    75    54    40    33    28    11    34    19    22    50    29    70     1     9    32    10    73    50     5    62    45    44    77    14     5     1    47    26    78
    15    32    67     6     5    29    46    35    80    48    14    87    30    12    10     1    71    54    45    30    23     1    11    27    23    14    30    40     1    43    23    53    82    81    59    46     7    40    20    70    20    55    60    52    87     3    31    21    31    32
    60    79    13    47    43    36     9     8    33    55    83    51    45    19    14    14    50    17    65     4     2    77    39     6    43    54    14    42    69    52     1    50    49    55    76     5    31    89    81    60    58    66     8    24    35    47    62    68    11    27
    15     8    25    35    89    72    79    44    87    53    39     5    10    26    23    62    80    62    85    51     3    70    12    21    86    55    35     8    63     2    50    18    18    16    84    67    15    62    61    11    18    72    81     1    62    38    10    80     1    41
    37    67    30    70    86    18    80     9    49    24    83    80    83    89    36    52    86    48    16    72     8    32    44    39    27    64    85    89    45     1    87     1    76    57    10    81    13    73    28     3    83     3    56    26    31    67    12    14    69    65
     1    37    74    15    31     1    61    36    87    44    88    22    67    76    70    59     1    26    57    20     1     1    23    61    50    81    54    33    27    24    40    73     1    45     2    46    22    50    38     1    63    87    43    52    23     5    79    12    61     6
    18    63    34    83    32     6    26    59    50    20     9    30    41    26     1    53    44    26    25    59    86     1    40    50    42    47    16     1    39    44    39     4    53    68     2    66    15    38    40    11    74    78    80    76    82     2    16    19    72    51
    75    85    33    72    82    68    82    71    82    81    79    31    77    63    59    81    47    72    47    73    61     1    75    61    25    26    89    64    13    72    49    86    84    76    55    18     5    32    51    47    49    13    58    53    48    23    74    26    33    75
    64    81    67    83    80    65    20    39    10    14    44    86    27    36    15    20    10    56    50    87    27    17    44     1    57    24    70    24    26    41    31    28    10    61    82    56    55    53    12    69    35     9    86    42    13     9    69    20    28    76
    24    50    87    64    36    18     5    31    65    54     6    55    51    19    83    19    72    42    56    46    66    70    59    19    13    59     9    42    48     9    13     1    59     2    45     1    69    80    17    73    77    45    36     6    18     6    73    28     2    46
    36     1    65    70    24    26    77    59     1    48    73    72    73    21    84     9    65    48    74    41    77    36     1    86    73    63    65    73     1    81    55    23    50     8    87    35    30    80    65    23     1    14    78    12    25    77     2    32     5    77
     5    17    72    35    49    58    57    69     7    44    11    19    48    47    13    10    39    84    72     2    58    64    36    56    11    33    62    75    57    62    25    67    14    62    61    58    16    73     1    54    13     9    17    55     1     2    76    10    37    50
    85    27    30    41    38     2     4    66    19    73    81    24     5    40    37    74    76    69    25     1    37    28    24    72    62    80    31     1    40    75    26     7    27    16    10    47    29     1    30    25    36    45     2    22    82    30    65    20    47    40
    77    15    18     7    80    38    82    84     6     6    34    68    63     1    54    33    37    64    80     1    64     1    85    57    68    22    51    51    18    21    17     5    86    18    25    36    82    30    85     2     9    11     3    68    86    34     1    40    28    11
    71    44    20    26    76    40     1    68    55    48    48    82    30    48    76    19    60     1    16    32    68    80    29    88    16    80    85    63    39    63    47    88    27    71    48     1    26    56    19    43    56    56    44    50    34    85    22    16    79    21
    74    54    71     9    18     8     6    42    38    14    70    53    62    13    42    50     8    29    87    66    35    45    66     1    80    81    48    82    55     8    61    46    24    51    71    29    32    27    21    74    44    74    25     1     5    34    45    68    70    25
    34    59    67    74    77    35    82    33    56    18    72    60    34    49     4    76    59    34     2    27    26    71    33    66     7    59    35    83    79    57    15    16    39    80    14    23    34    40    25    38    49    43     1     1    23    58    30    10    89    36
    26    48    65    44    33    60    83    52     7    83    66    79    69    82    77    82    34    83    20    20    68    49    10    59    24     2    40     9    89    21    48    23    11    72    62    29    49    17     5    41    23    88    10    72    78    43    87    48    79    44
