     5     6    23
    19    47    31
     5    32    35
     7     5    44
    23    18     5
    47    36     9
    19    44     5
    45    34    44
    32    48    20
    22     5     7
    23    18    19
    20    46    10
    44    10    48
    19    44     5
    33     6    48
     5     8    18
    33    31    46
    46    46     6
    46    45     8
    18    23     5
    22    47    47
    34    44    33
    45    46     6
     6    21    31
    47     5     5
    20     8     8
     5    47    48
     7    22    18
     8    48    35
     7     5    47
    33    21     5
    36     8    44
     8    33    21
    34    23     6
    45    22     5
    18    45     5
    22    21    32
    48     5    47
    47    20     5
    20    33    23
    34    44    19
    33    22    44
     9     8    46
    46     5    34
    36    23    10
    32     5     9
     8     6    22
    35     8    31
    22     5    47
    21     6    35
    44     5    35
    10    33    35
     7    44    44
    22    45    48
    45    48    19
    47    21    36
     9    34    46
    32    22     9
    31    21    36
    18     9     7
    19    48    20
    23     9     6
     5    45    22
    46    18    10
     5    46    48
    32    10     9
    44    35    32
     7     5    10
    46     5    31
    45    21     5
    33    47    34
    33     5    36
    31    35    48
     5     6    23
    45    45    23
    35    45     5
    18    19    48
    36     9     5
    32    47    22
    22    32    32
    36    19    48
    31     6    33
    36     5    23
    47    44     6
    19     5     8
    44     6    48
    10    34    32
    47    33    33
     7    34    10
    44     5    22
    20    48    23
    47     9     9
     7    21    22
    10    10     5
    45     5     8
    19    46    46
    31    21    21
     6    46     5
    33    21     6
     8    35    44
