    14    17    42    32    64    45    14    46    53    19
    15    58    43    30    14    64    54    24    31    57
    15    59    50    59    47    67    34    40    14    21
    42    28    31    34    61    27    57    27    67    31
    57    16    50    19    67    16    23    29    49    44
    62    62    62    19    62    60    22    30    42    15
    40    65    65    51    59    48    60    63    18    17
    37    45    64    16    16    33    23    22    16    64
    67    20    40    29    22    66    54    21    15    65
    48    36    14    55    22    58    23    49    36    52
    42    19    60    40    14    30    60    14    40    36
    47    65    15    65    65    34    15    33    49    42
    50    58    31    49    37    57    25    23    62    63
    14    50    55    43    28    46    14    25    22    18
    37    54    22    43    40    14    65    36    18    52
    59    14    54    28    48    52    19    56    58    40
    59    67    60    65    30    63    35    56    24    50
    61    47    37    25    44    35    54    29    26    21
    31    66    34    42    24    18    16    59    37    62
    30    26    14    61    66    47    27    26    58    52
    47    20    14    28    61    14    44    60    36    15
    49    64    51    48    14    55    44    52    67    15
    18    42    60    60    42    53    61    14    30    31
    67    54    25    14    46    64    40    40    46    46
    56    32    67    45    17    49    56    14    43    65
    57    19    32    16    22    57    19    67    26    50
    46    65    49    49    20    50    27    58    16    40
    34    67    42    65    25    25    21    36    40    26
    26    14    60    14    22    31    63    62    44    36
    36    18    63    14    50    35    19    23    53    58
    19    54    14    46    23    48    51    48    31    64
    35    60    14    41    16    15    21    35    43    25
    65    18    27    35    54    52    23    50    24    16
    14    59    48    33    40    44    67    27    44    48
    43    14    63    59    40    19    14    47    58    42
    44    49    14    62    56    41    59    57    52    14
    42    46    16    21    43    41    54    67    14    61
    31    44    62    37    27    65    20    61    58    20
    33    27    16    23    67    34    17    45    60    50
    40    14    47    19    31    20    35    33    45    15
    33    54    19    34    53    19    22    59    45    20
    26    31    28    19    27    54    59    67    41    16
    43    18    57    29    46    66    34    34    49    19
    17    33    28    31    18    52    64    61    49    14
    66    56    53    21    14    56    64    22    16    47
    33    36    17    16    36    18    16    22    18    20
    25    14    30    67    65    50    27    64    62    58
    14    20    14    55    34    66    32    58    37    61
    57    37    60    45    44    28    30    54    45    57
    37    20    57    53    20    45    31    25    25    52
