     7    13    71    50   125    77     6    79    98    20     9   111    73    46     6   125   100    32    49   104
     9   113    89   111    84   130    52    65     6    23    71    39    48    58   116    38   104    38   129    48
   105    11    88    19   130    10    26    45    88    75   117   117   116    19   117   114    24    46    71     9
    65   126   126    90   111    86   113   118    14    12    61    76   124    11    11    52    26    25    10   125
   130    22    64    40    24   128   100    22     8   126    85    60     7   101    25   111    27    87    61    92
    71    20   113    64     6    46   115     6    64    60    79   127     9   126   126    53     8    51    87    71
    89   110    47    88    62   105    34    27   117   118     6    89   101    73    38    77     6    34    24    13
    62    99    24    73    64     7   126    61    14    97   111     6    99    39    85    97    20   104   110    63
   112   130   114   127    47   123    59   104    32    89   116    79    63    34    75    59   100    45    35    23
    48   128    52    66    32    14    10   112    63   117    46    35     6   116   128    79    38    35   110    92
    84    21     7    38   116     6    74   114    60     9    87   124    91    86     7   102    74    92   129     9
    13    71   113   114    72    98   115     6    46    47   130   100    34     6    78   124    63    64    77    78
   103    49   130    76    13    87   103     6    73   127   105    20    50    10    24   105    19   129    35    89
    78   126    87    86    22    89    38   110    11    63    53   129    71   126    34    34    23    61    64    36
    36     6   113     6    25    47   123   117    75    60    60    19   118     6    88    59    20    26    98   111
    19   100     6    78    27    85    91    85    48   125    59   113     7    66    10     9    23    59    72    33
   126    14    36    59    99    91    27    89    32    11     6   112    86    52    64    75   130    38    74    85
    74     6   118   111    63    20     6    84   110    71    74    87     6   117   103    65   111   104    92     8
    72    78    11    23    73    65   100   130     7   116    48    74   117    62    38   126    21   115   111    21
    51    36    10    27   129    58    12    76   114    89    64     7    84    19    47    22    60    52    76     9
    51    99    20    53    98    19    25   112    76    22    35    48    38    20    38    99   113   129    65    11
    72    14   104    45    78   127    53    53    87    20    12    51    38    48    14    97   125   115    86     6
   128   103    97    24     7   103   125    25    11    84    51    61    13    10    61    13    11    25    14    20
    33     8    46   130   126    90    37   124   118   111     6    21     6   101    52   128    49   110    62   115
   104    62   114    77    74    38    46    99    77   105    62    21   104    98    21    75    48    34    33    97
    85    71    60   100    85    50    21     7   102    27   100    73   124   110   110    66    39    52    25    65
    85    11    35    35    19   130    19   128   125    58    37    47    53    11    62    34    97    10     6     8
   127   128   100   128    51    61    79   126   115    36     6    24    51    47    77    40   110    91    40    10
    66    90    85   129    25   113    98     7    50    32    32    90    51     8   128    72    14   101    24    89
    47   129     6    63    53    21    63   115     7     7    72   127    59    98    27    45   103    84    38   118
   126     6   114   130    19   105    19   104    21    51    33   127     6    48    99    66     6   125     7    24
     7     6   112    97   124    59    89    22     6    84     8    84    53   125    97    78    13    66   113     6
    61    98   125    48    73    47    23     7    38    25    64    66    85    59    64    74   130    71    85    76
    76    88   123    58    87    11    88    74   127    88   110     6    50    35     6    24    77    34    86   113
    20    14   115    34   112    85   101    46   118    46     6    21    52    60    40    78    24    14    10    51
    76    98    66    73   118    85   123   104    61    91    62    50     8   103   127    11   125    51    79    62
    40    87    45   117    27   104    12    34    76    49   124    51    23    64    14    63    86    78    38   101
   117   116    32   102    10    38    62   126    53    60    46    32   118     7   100     8   101     6    88    72
     6    84    37    58    50    25    74    26    64    99    73   125   110    64    24    11    62    38   118   113
    65    59   110    71    58    50     8   130   113    52    21    58    51    76    10   104   101    62    72     6
    10    39    45    19    48    71    98   130    50   102   103    51   112    40   111   129    12   103    62    87
    71   126     7    21    46    77   130   129    58     6    27    13    65    10   124    19    24    39   110    76
    21    86    62    22    77   115   128    84    99     8    36     6    63    59     6   104    97    98   102   123
    71    71    38    78    89    10   125     6    87    51   104    12   128    38    73   127    98    74     6    20
    53    66    85    88    51    34    12    50   128    86    49    19    72    88    40    11    48    51   125    99
    84    20    59    35    52    97   125    59    92   126    38   112    22    64    76    40   129    86   112    64
   116   112    39   111     8   101    22     6    22   105   130    86   127    66    12   115   130    92    97   104
   110   124   128    26    74    50    77   103    53    22    12    21   104    36    63    52    90    13    47    11
   102   103   110    32   110   104    51    79     7    84   118    58    73    20   114    14    14    87   124   103
     8    40   123    97    32     6    58    58    12    36    84     7   104    62    33    52     7    51    74   127
