     2     4    27    18    34    29     2    30    11     5     2    22    28    16     2    34    12     8    17    13     2    23    33    22    31    36    19    26     2     6    27    15    17    19    24    15    13    15    36    17    22     3    32     5    36     3     7    16    32    29
    25    25    24     5    25    23     7    16    27     2    26    35    35    33    22    31    23    25     4     4    21    29    34     3     3    19     8     7     3    34    36     6    26    16     7    35    11     6     2    35    31    20     2    12     7    22     8    32    21    10
    27     5    23    26     2    16    24     2    26    20    30    35     2    35    35    19     2    18    32    27    33    22    17    32    21    13     9     8    25    25     2    33    12    28    15    30     2     9     7     4    21    11     7    28    26     2    35    21     4    10
    22     2    11    15    31    10     5    13    22    26    23    36    24    35    17    34    20    13     8    33    24    30    21     9    29    20    12    16     9     6    17    36    19    27     8     4     3    23    21    25    16    14     2    24    36    30    15     9    22    10
    31     5     2    15    24     2    28    23    20     2    32    34    33    31     2    12    28    10    36     2     4    27    23    23    27    11    24     2    16    17    36    12     9     2    30    34    26    26    30    30    13    18    36    29     4    32    13     2    28    35
    13     5    18     3     7    22     5    36    14    33    30    35    32    32     6    33    15    22     3    26    19    36    27    35     9     9     6    21    26    14    14     2    23     2     7    17    25    25    29    20    20     5    25     2    32    20     5     8    11    22
     5    11     2    30     8    31    10    31    17    34    20    23     2    27     3     2     6    20    28     9    35     4    14    20    11    10     8    33     8     3     2    23    31    19    26    29    36    15    28    31    28     2    25    22    26     5     2    31    22    27
    28    32     2    25    13    26    22    13    10     2    27    30     3     6    28    26    12    36     2    24    17    28    25    21    15    35     5    24    22     5    18    14     3     8    36    19     4    29    24    33    26     2    31     5    17     6    20    19    29     2
    18    11     5    19    11     5     7    23    29     6    14    17    15     5    15    11    23    36    26     3    28     4    13    16    30    35    19    19    32     5     4    18    15    17     4    10    34    24    32     2    35    13    10     7     2    13    34     7     3    31
    18    21     4     3    21     4     3     7     4     5     9     2    16    36    35    33    14    34    25    22     2     6     2    12    19    35    17    22    21    24    13    21    24    29    28    15    16    11    29    22    21     6    13    11     6    29    17     9     9    10
    31    27    20    12    31    18     6     2    12     8    11    28    34    22    22    27    15    19     7    26    31     3     9     9     5    36     5    35    34    19    14    17    19     3    21     9    10     3     2     2    35    35    12    36    18    21    30    35    24    14
     2     7    18    17    29    15    22    33    16     3    27    33    31    36     7    23    11     2    18     8     8    33    18     2    36    28     4    12     7    33    17    36     2    26    19     5    21    24     2     2    28    35    20    11     8    16    13    31    15    25
    35     2    24    36     5    13     5    13     6    18     9    35     2    17    11    27     2    34     2     7     2     2    23    10    34    20    33     6     2    31     2    31    19    34    10    30     4    27    23     2    21    11    34    17    28    17     6     2    15     7
