     2     4    27    18    34
    29     2    30    11     5
     2    22    28    16     2
    34    12     8    17    13
     2    23    33    22    31
    36    19    26     2     6
    27    15    17    19    24
    15    13    15    36    17
    22     3    32     5    36
     3     7    16    32    29
    25    25    24     5    25
    23     7    16    27     2
    26    35    35    33    22
    31    23    25     4     4
    21    29    34     3     3
    19     8     7     3    34
    36     6    26    16     7
    35    11     6     2    35
    31    20     2    12     7
    22     8    32    21    10
    27     5    23    26     2
    16    24     2    26    20
    30    35     2    35    35
    19     2    18    32    27
    33    22    17    32    21
    13     9     8    25    25
     2    33    12    28    15
    30     2     9     7     4
    21    11     7    28    26
     2    35    21     4    10
    22     2    11    15    31
    10     5    13    22    26
    23    36    24    35    17
    34    20    13     8    33
    24    30    21     9    29
    20    12    16     9     6
    17    36    19    27     8
     4     3    23    21    25
    16    14     2    24    36
    30    15     9    22    10
    31     5     2    15    24
     2    28    23    20     2
    32    34    33    31     2
    12    28    10    36     2
     4    27    23    23    27
    11    24     2    16    17
    36    12     9     2    30
    34    26    26    30    30
    13    18    36    29     4
    32    13     2    28    35
