    45    46    56    52    66    57    45    58    61    47
    45    63    56    51    45    66    62    49    52    63
    45    64    60    63    58    67    53    55    45    47
    56    51    52    53    65    50    63    50    67    52
    63    45    59    46    67    45    48    51    59    57
    65    65    65    46    65    64    48    51    56    45
    55    66    66    60    63    59    64    65    46    46
    54    57    66    45    45    53    48    48    45    66
    67    47    55    51    48    67    61    47    45    66
    59    54    45    62    48    63    48    59    54    60
    56    46    64    55    45    51    64    45    55    54
    58    67    45    66    66    53    45    53    59    56
    60    63    52    59    55    63    49    48    65    65
    45    60    62    56    50    58    45    49    48    46
    55    61    48    57    55    45    66    54    46    61
    63    45    61    50    59    61    47    63    63    55
    64    67    64    67    52    66    54    62    49    60
    65    58    55    49    57    54    62    51    49    47
    52    67    53    56    49    46    45    64    55    65
    51    50    45    65    67    58    50    49    63    61
    58    47    45    50    65    45    57    64    54    45
    59    66    60    59    45    62    57    61    67    45
    46    56    64    64    56    61    64    45    51    52
    67    62    49    45    58    66    55    55    58    58
    62    52    67    57    46    59    62    45    56    66
    63    46    52    45    48    63    46    67    50    60
    58    66    59    59    47    60    50    63    45    55
    53    67    56    66    49    49    47    54    55    50
    50    45    64    45    48    52    65    65    57    54
    54    46    65    45    59    54    46    48    61    63
    46    61    45    58    48    59    60    59    52    66
    54    64    45    56    45    45    47    54    56    49
    66    46    50    54    61    60    48    60    49    45
    45    64    59    53    55    57    67    50    57    59
    57    45    65    63    55    47    45    58    63    56
    57    59    45    65    62    55    63    63    60    45
    56    58    45    47    57    55    62    67    45    65
    52    57    65    54    50    66    47    64    63    47
    53    50    45    48    67    53    46    57    64    60
    55    45    58    46    52    47    54    53    57    45
    53    61    47    53    61    46    48    64    57    47
    50    52    50    47    50    61    64    67    55    45
    56    46    63    51    58    67    53    53    59    47
    46    53    50    52    46    61    66    64    59    45
    67    62    61    48    45    62    66    48    45    58
    53    54    46    45    54    46    45    48    46    47
    49    45    51    67    66    60    50    66    65    63
    45    47    45    62    53    67    52    63    55    64
    63    55    64    57    57    50    51    61    57    63
    55    47    63    61    47    57    52    49    49    61
