     1     1    41    28   106    54     1    54    80     1     1    93    41    15     1
   106    80     2    15    80     1    93    67    93    54   106    28    41     1     1
    41    15    15    28    93    15    80    15   106    15    80     1    67     1   106
     1     2    15    67    54    93    93    93     1    93    93     1    15    41     1
    41   106   106    67    93    67    93   106     1     1    41    54   106     1     1
    28     2     2     1   106   106     1    41    15     1   106    80     1     1   106
    54    28     1    80     1    93     2    67    28    67    41     1    93    41     1
    15    93     1    41    28    54   106     1   106   106    28     1    28    67    41
    67    93    15    67    41    80     2     2    93    93     1    67    80    41    15
    54     1     2     1     1    41    80     1    41    41     1   106    28     1    67
    93     1    80    15    54    67     1    80    80    41    93   106    93   106    15
   106    28    80     2    67    93    54    41     2    54    28    80    15     2     1
    15   106    28    41     2     1     1    93    41    93    15     2     1    93   106
    54    15     2    93    67    54     1     1    15    93     1    54    93    28     1
    67   106    67    67     1    80    54    67   106     1     1    41    93    93    41
    67    93     1    15    15   106    80     2     1    54   106    41    41    54    54
    80    28   106    54     1    67    80     1    41   106    80     1    28     1     1
    80     1   106     2    67    54   106    67    67     1    67    15    80     1    41
    28   106    41   106     2     2     1    28    41     2     2     1    93     1     2
    15   106    93    54    28    28     1    93     1    67    28     1     2    80    93
     1    80     1    54     2    54    67    54    15   106    28    93     1    41     1
     1     1    28    41     2   106     1     2    28    80    67     2    67     2     1
     1    93    54    28    41    54   106    15    54    54    54     1   106    93    41
     1     1    54    80    41    54    67     1    93    80    41    93    80    67     1
    41    54     1     1    41    41    80   106     1    93    15    54    93    41    15
   106     1    93    93     1    28     2     1     2   106    28     1    54    93    67
    41     1    54     1    15     1    28    28    54     1    28    80     1    28    80
     1     1    93    54     1     2    15    15     1    15    80    93   106    41     1
    41     1    80    15    54   106    28    28    67     1     1    28    15    15     1
    67   106    93    67     1   106    80    67     1     1    80   106     2     1    54
    28    28     1     1    28     1     1     1     1     1     2     1    15   106   106
    67    15   106    93    93     1     1     1    80    28   106    15    80    41    93
    80    41    93    54    54    15    15    80    54    80    41     1    80    80     1
    54    15     2     2    67    54    41    28    80    54    28     1     1    80     2
    80    41   106    80    80    41    15    28     1    41    54     1     2     2     1
   106     1   106   106    28     2    15    28     1    41     2    67     1     1     1
   106   106    80   106    28    28    54   106    93     2     1     1    28    15    54
    15    80    67    15     1    41    67    54   106     1    93    67     1    28     2
     2    67    28     1   106    41     1    80     1    67    15   106     1    41    28
     1    41    93     1     1    41   106    28    67     2    15    80    54    15    93
   106     1    93   106     1    80     1    80     1    28     2   106     1    15    80
    41     1   106     1     1     1     1    93    67   106    28    67     1     1    54
     1    54    28   106    67    54     1    41    93     1    28    80   106    15    41
    15     1     1    15     2    41    41    54    28    41    54   106    41    54    54
    54    67   106    28    67     1    67    41   106    67    80     1    28     2     1
