   772    74    21    74
   464    74    24    74
   445    74    47    74
   796    74     7    74
   942    74    22    74
   474    74    29    74
   313    74    15    74
   938    74    10    74
   970    74    21    74
   756    74    45    74
   411    74     1    74
   212    74    43    74
   918    74    44    74
     6    74     2    74
   748    74     8    74
     1    74    36    74
   693    74    37    74
   261    74    32    74
   719    74     1    74
   540    74    22    74
   460    74    39    74
   717    74    33    74
   448    74    19    74
   275    74    42    74
   195    74    20    74
   242    74    41    74
   977    74     3    74
   791    74    47    74
   883    74    34    74
   441    74     3    74
   237    74    24    74
   826    74     2    74
   129    74     1    74
   694    74     4    74
   580    74    18    74
   952    74    14    74
   282    74     1    74
     9    74    22    74
   560    74     5    74
   966    74    13    74
   371    74    46    74
   957    74     4    74
   903    74    35    74
   562    74    28    74
   533    74    21    74
   384    74     1    74
   929    74    40    74
   320    74    26    74
   940    74     1    74
   381    74    38    74
   633    74    28    74
   826    74     3    74
   112    74    31    74
    98    74    35    74
   979    74     2    74
   785    74    10    74
   614    74    30    74
   817    74    34    74
   845    74     1    74
   300    74    40    74
   932    74    25    74
   934    74     7    74
   189    74    32    74
   622    74    18    74
   478    74    27    74
   731    74    48    74
   564    74     6    74
   378    74    45    74
   460    74    10    74
   873    74    25    74
   940    74    49    74
   547    74    41    74
   403    74    32    74
   625    74    46    74
